component,estimate,p.value,method,alternative,date
Axis.100,-0.0113396637725642,0.909488187817005,Spearman's rank correlation rho,two.sided,t2
Axis.54,0.0109715642218075,0.912414464158994,Spearman's rank correlation rho,two.sided,t2
Axis.87,-0.00919699474577152,0.9265374636226,Spearman's rank correlation rho,two.sided,t2
Axis.94,-0.0068400588162996,0.945329826800037,Spearman's rank correlation rho,two.sided,t2
Axis.34,-0.00619176408511619,0.950504522041858,Spearman's rank correlation rho,two.sided,t2
Axis.81,0.00544457693731157,0.956471115486942,Spearman's rank correlation rho,two.sided,t2
Axis.102,0.00516438175688484,0.958709225362498,Spearman's rank correlation rho,two.sided,t2
Axis.5,-0.262814849593452,0.00675671786274434,Spearman's rank correlation rho,two.sided,t4
Axis.4,0.221921477116163,0.0228911170272626,Spearman's rank correlation rho,two.sided,t4
Axis.80,-0.207049274191376,0.0340694542910442,Spearman's rank correlation rho,two.sided,t4
Axis.19,0.192892679357113,0.0486715612614513,Spearman's rank correlation rho,two.sided,t4
Axis.7,-0.181754083861144,0.0635079452524408,Spearman's rank correlation rho,two.sided,t4
Axis.59,-0.170444364691353,0.0821452096947159,Spearman's rank correlation rho,two.sided,t4
Axis.26,-0.169495406136529,0.0838894889809313,Spearman's rank correlation rho,two.sided,t4
Axis.23,0.168442736264238,0.0858588315067568,Spearman's rank correlation rho,two.sided,t4
Axis.14,0.167581932329261,0.0874964375670503,Spearman's rank correlation rho,two.sided,t4
Axis.81,-0.165704757483105,0.0911537049831169,Spearman's rank correlation rho,two.sided,t4
Axis.53,-0.162526005602738,0.0976219055271337,Spearman's rank correlation rho,two.sided,t4
Axis.21,0.152694172706854,0.119933227348032,Spearman's rank correlation rho,two.sided,t4
Axis.31,0.148804998301837,0.129774173501378,Spearman's rank correlation rho,two.sided,t4
Axis.61,-0.146388524604853,0.136192728218586,Spearman's rank correlation rho,two.sided,t4
Axis.45,-0.143863154024528,0.143155643173114,Spearman's rank correlation rho,two.sided,t4
Axis.28,0.140373268191759,0.153216476400001,Spearman's rank correlation rho,two.sided,t4
Axis.78,0.133740929439736,0.173782176070297,Spearman's rank correlation rho,two.sided,t4
Axis.62,-0.131122218673691,0.18243873200506,Spearman's rank correlation rho,two.sided,t4
Axis.25,-0.12779827094887,0.19387490090134,Spearman's rank correlation rho,two.sided,t4
Axis.77,-0.126527807309897,0.198380183347461,Spearman's rank correlation rho,two.sided,t4
Axis.46,0.119485808853879,0.224723368184167,Spearman's rank correlation rho,two.sided,t4
Axis.40,0.113895768842401,0.247320234593525,Spearman's rank correlation rho,two.sided,t4
Axis.63,-0.113454995743166,0.249166384949433,Spearman's rank correlation rho,two.sided,t4
Axis.32,-0.11295199585345,0.251284739078898,Spearman's rank correlation rho,two.sided,t4
Axis.35,0.110509594327099,0.261746592437129,Spearman's rank correlation rho,two.sided,t4
Axis.42,-0.105256616097389,0.285240846935593,Spearman's rank correlation rho,two.sided,t4
Axis.9,-0.102238616759096,0.299355824338007,Spearman's rank correlation rho,two.sided,t4
Axis.27,-0.097644205395302,0.321710647841458,Spearman's rank correlation rho,two.sided,t4
Axis.36,0.0972812157841671,0.323521456575558,Spearman's rank correlation rho,two.sided,t4
Axis.16,-0.0956166491388197,0.331908938203756,Spearman's rank correlation rho,two.sided,t4
Axis.89,0.095098092551484,0.334549895211472,Spearman's rank correlation rho,two.sided,t4
Axis.2,0.0920126808568369,0.350538455181268,Spearman's rank correlation rho,two.sided,t4
Axis.56,-0.0875530942057504,0.37447621589271,Spearman's rank correlation rho,two.sided,t4
Axis.10,-0.0855099812516479,0.385767873022884,Spearman's rank correlation rho,two.sided,t4
Axis.58,-0.0794584258774409,0.420395548227831,Spearman's rank correlation rho,two.sided,t4
Axis.52,-0.0783279725170493,0.427057826592219,Spearman's rank correlation rho,two.sided,t4
Axis.24,-0.0781983333702153,0.427825704660676,Spearman's rank correlation rho,two.sided,t4
Axis.67,0.0766478491740818,0.437070718051857,Spearman's rank correlation rho,two.sided,t4
Axis.66,0.076170777113733,0.439937974007927,Spearman's rank correlation rho,two.sided,t4
Axis.8,0.0761655915478596,0.439969198143699,Spearman's rank correlation rho,two.sided,t4
Axis.48,-0.0759322410835586,0.441375580414374,Spearman's rank correlation rho,two.sided,t4
Axis.44,-0.0735365096500679,0.455960370732019,Spearman's rank correlation rho,two.sided,t4
Axis.72,0.0718615718729738,0.466313703617027,Spearman's rank correlation rho,two.sided,t4
Axis.15,-0.0679983252973232,0.490676584713123,Spearman's rank correlation rho,two.sided,t4
Axis.50,-0.0651825630280906,0.50884947256496,Spearman's rank correlation rho,two.sided,t4
Axis.55,-0.063020182058901,0.523037705360584,Spearman's rank correlation rho,two.sided,t4
Axis.51,-0.0626883058430062,0.525232852826845,Spearman's rank correlation rho,two.sided,t4
Axis.75,-0.0580109254252387,0.556656624008855,Spearman's rank correlation rho,two.sided,t4
Axis.71,-0.0574353276132961,0.560585109808334,Spearman's rank correlation rho,two.sided,t4
Axis.11,-0.0572849462029688,0.561613646552951,Spearman's rank correlation rho,two.sided,t4
Axis.33,0.0571086369632746,0.562820660998033,Spearman's rank correlation rho,two.sided,t4
Axis.73,-0.0559004001147826,0.571125277635328,Spearman's rank correlation rho,two.sided,t4
Axis.41,-0.0555840805965078,0.573308900817196,Spearman's rank correlation rho,two.sided,t4
Axis.70,-0.0544017715773826,0.581504985650425,Spearman's rank correlation rho,two.sided,t4
Axis.13,0.0524519988090005,0.59513797293659,Spearman's rank correlation rho,two.sided,t4
Axis.37,0.0523016173986732,0.596195398147034,Spearman's rank correlation rho,two.sided,t4
Axis.49,0.0505592672652254,0.608507927164868,Spearman's rank correlation rho,two.sided,t4
Axis.54,0.0505125971723652,0.60883925675029,Spearman's rank correlation rho,two.sided,t4
Axis.38,0.0458870724133313,0.642061082714591,Spearman's rank correlation rho,two.sided,t4
Axis.12,0.0458352167545977,0.64243772065147,Spearman's rank correlation rho,two.sided,t4
Axis.69,0.0453218457331354,0.646171312414254,Spearman's rank correlation rho,two.sided,t4
Axis.57,0.0446684644330925,0.650935876448798,Spearman's rank correlation rho,two.sided,t4
Axis.84,0.0434550420187271,0.659821617580595,Spearman's rank correlation rho,two.sided,t4
Axis.34,-0.0412045064296904,0.676427036879264,Spearman's rank correlation rho,two.sided,t4
Axis.1,0.0381190947350433,0.699445467587127,Spearman's rank correlation rho,two.sided,t4
Axis.47,-0.0370975382579921,0.70712833324274,Spearman's rank correlation rho,two.sided,t4
Axis.76,-0.0359411570682336,0.715860745500562,Spearman's rank correlation rho,two.sided,t4
Axis.83,0.0346603222975145,0.725575856823533,Spearman's rank correlation rho,two.sided,t4
Axis.87,0.0336906214791969,0.732960172188267,Spearman's rank correlation rho,two.sided,t4
Axis.3,-0.0288524885193553,0.770155279153402,Spearman's rank correlation rho,two.sided,t4
Axis.30,-0.0277064784613435,0.77904614833382,Spearman's rank correlation rho,two.sided,t4
Axis.60,0.0252485202373726,0.798210224461595,Spearman's rank correlation rho,two.sided,t4
