"group1","group2","p_value","enzID","test","p_adj_method"
"t8","t1",0.217918349496186,"AA4","pairwise.wilcox.test","Bonferroni"
"t8","t10",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t8","t2",0.00235836971620656,"AA4","pairwise.wilcox.test","Bonferroni"
"t8","t3",0.000188425630284923,"AA4","pairwise.wilcox.test","Bonferroni"
"t8","t4",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t8","t5",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t8","t6",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t8","t7",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t9","t0",0.0102280914425764,"AA4","pairwise.wilcox.test","Bonferroni"
"t9","t1",0.00866081543524344,"AA4","pairwise.wilcox.test","Bonferroni"
"t9","t10",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t9","t2",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t9","t3",0.612515678490694,"AA4","pairwise.wilcox.test","Bonferroni"
"t9","t4",0.108652607788226,"AA4","pairwise.wilcox.test","Bonferroni"
"t9","t5",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t9","t6",0.242751862990393,"AA4","pairwise.wilcox.test","Bonferroni"
"t9","t7",0.0457640794259894,"AA4","pairwise.wilcox.test","Bonferroni"
"t9","t8",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t1","t0",7.51474839093619e-08,"AA6","pairwise.wilcox.test","Bonferroni"
"t10","t0",3.69379409148898e-06,"AA6","pairwise.wilcox.test","Bonferroni"
"t10","t1",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t2","t0",1.03089576755173e-14,"AA6","pairwise.wilcox.test","Bonferroni"
"t2","t1",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t2","t10",0.0338055170009826,"AA6","pairwise.wilcox.test","Bonferroni"
"t3","t0",1.241336726378e-08,"AA6","pairwise.wilcox.test","Bonferroni"
"t3","t1",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t3","t10",0.00992452175878095,"AA6","pairwise.wilcox.test","Bonferroni"
"t3","t2",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t4","t0",7.01237644626684e-17,"AA6","pairwise.wilcox.test","Bonferroni"
"t4","t1",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t4","t10",0.000769608551640608,"AA6","pairwise.wilcox.test","Bonferroni"
"t4","t2",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t4","t3",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t5","t0",5.11586708585948e-07,"AA6","pairwise.wilcox.test","Bonferroni"
"t5","t1",0.228299750498714,"AA6","pairwise.wilcox.test","Bonferroni"
"t5","t10",0.00151763842379752,"AA6","pairwise.wilcox.test","Bonferroni"
"t5","t2",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t5","t3",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t5","t4",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t6","t0",4.40472573024703e-08,"AA6","pairwise.wilcox.test","Bonferroni"
"t6","t1",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t6","t10",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t6","t2",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t6","t3",0.221960259116139,"AA6","pairwise.wilcox.test","Bonferroni"
"t6","t4",0.0887654496985785,"AA6","pairwise.wilcox.test","Bonferroni"
"t6","t5",0.0106521064021346,"AA6","pairwise.wilcox.test","Bonferroni"
"t7","t0",2.0049632793272e-06,"AA6","pairwise.wilcox.test","Bonferroni"
"t7","t1",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t7","t10",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t7","t2",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t7","t3",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t7","t4",0.807442889586117,"AA6","pairwise.wilcox.test","Bonferroni"
"t7","t5",0.0748672575584047,"AA6","pairwise.wilcox.test","Bonferroni"
"t7","t6",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t8","t0",4.88305200252742e-09,"AA6","pairwise.wilcox.test","Bonferroni"
"t8","t1",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t8","t10",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t8","t2",0.493528197791969,"AA6","pairwise.wilcox.test","Bonferroni"
"t8","t3",0.123753382779823,"AA6","pairwise.wilcox.test","Bonferroni"
"t8","t4",0.0171274364610697,"AA6","pairwise.wilcox.test","Bonferroni"
"t8","t5",0.00926163247757023,"AA6","pairwise.wilcox.test","Bonferroni"
"t8","t6",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t8","t7",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t9","t0",5.85429364231082e-06,"AA6","pairwise.wilcox.test","Bonferroni"
"t9","t1",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t9","t10",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t9","t2",0.942907006523483,"AA6","pairwise.wilcox.test","Bonferroni"
"t9","t3",0.158390077539839,"AA6","pairwise.wilcox.test","Bonferroni"
"t9","t4",0.0708182245642915,"AA6","pairwise.wilcox.test","Bonferroni"
"t9","t5",0.00587915056871115,"AA6","pairwise.wilcox.test","Bonferroni"
"t9","t6",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t9","t7",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t9","t8",1,"AA6","pairwise.wilcox.test","Bonferroni"
"t1","t0",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t10","t0",6.21654608518962e-10,"AA7","pairwise.wilcox.test","Bonferroni"
"t10","t1",3.28176035309459e-08,"AA7","pairwise.wilcox.test","Bonferroni"
"t2","t0",0.013584118918187,"AA7","pairwise.wilcox.test","Bonferroni"
"t2","t1",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t2","t10",6.42893165687888e-18,"AA7","pairwise.wilcox.test","Bonferroni"
"t3","t0",2.42447026505407e-06,"AA7","pairwise.wilcox.test","Bonferroni"
"t3","t1",0.00495122232984488,"AA7","pairwise.wilcox.test","Bonferroni"
"t3","t10",1.7124022356755e-16,"AA7","pairwise.wilcox.test","Bonferroni"
"t3","t2",0.56050791020263,"AA7","pairwise.wilcox.test","Bonferroni"
"t4","t0",9.40745597194563e-08,"AA7","pairwise.wilcox.test","Bonferroni"
"t4","t1",0.0185841973873934,"AA7","pairwise.wilcox.test","Bonferroni"
"t4","t10",3.90702980267641e-24,"AA7","pairwise.wilcox.test","Bonferroni"
"t4","t2",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t4","t3",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t5","t0",0.329459255478643,"AA7","pairwise.wilcox.test","Bonferroni"
"t5","t1",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t5","t10",3.45807424752242e-09,"AA7","pairwise.wilcox.test","Bonferroni"
"t5","t2",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t5","t3",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t5","t4",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t6","t0",0.731802320799298,"AA7","pairwise.wilcox.test","Bonferroni"
"t6","t1",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t6","t10",1.3173115687481e-17,"AA7","pairwise.wilcox.test","Bonferroni"
"t6","t2",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t6","t3",9.2461294785175e-05,"AA7","pairwise.wilcox.test","Bonferroni"
"t6","t4",0.000687799128172441,"AA7","pairwise.wilcox.test","Bonferroni"
"t6","t5",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t7","t0",0.37740879084091,"AA7","pairwise.wilcox.test","Bonferroni"
"t7","t1",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t7","t10",1.17184629219018e-14,"AA7","pairwise.wilcox.test","Bonferroni"
"t7","t2",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t7","t3",0.000925589456578467,"AA7","pairwise.wilcox.test","Bonferroni"
"t7","t4",0.0450105577210519,"AA7","pairwise.wilcox.test","Bonferroni"
"t7","t5",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t7","t6",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t8","t0",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t8","t1",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t8","t10",1.34747656811469e-13,"AA7","pairwise.wilcox.test","Bonferroni"
"t8","t2",0.0555000043452826,"AA7","pairwise.wilcox.test","Bonferroni"
"t8","t3",6.56241216287349e-08,"AA7","pairwise.wilcox.test","Bonferroni"
"t8","t4",6.90707842794504e-08,"AA7","pairwise.wilcox.test","Bonferroni"
"t8","t5",0.247857639218921,"AA7","pairwise.wilcox.test","Bonferroni"
"t8","t6",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t8","t7",0.386380396121009,"AA7","pairwise.wilcox.test","Bonferroni"
"t9","t0",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t9","t1",1,"AA7","pairwise.wilcox.test","Bonferroni"
