cohort,isolation_source,bin,secondary_cluster,variable,value
PosCtrl,Protexin,bins.14.fa,no_cluster,R5,90.8043366088335
PosCtrl,Protexin,bins.15.fa,no_cluster,R5,343016.738463334
PosCtrl,Protexin,bins.16.fa,no_cluster,R5,80619.8301203332
PosCtrl,Protexin,bins.17.fa,no_cluster,R5,158936.638973333
PosCtrl,Protexin,bins.18.fa,619_0,R5,428249.889912333
PosCtrl,Protexin,bins.19.fa,no_cluster,R5,2565425.10323333
PosCtrl,Protexin,bins.2.fa,no_cluster,R5,848444.082309999
PosCtrl,Protexin,bins.20.fa,no_cluster,R5,875033.3187
PosCtrl,Protexin,bins.3.fa,no_cluster,R5,43916.9577116333
PosCtrl,Protexin,bins.4.fa,no_cluster,R5,746743.804366666
PosCtrl,Protexin,bins.5.fa,no_cluster,R5,874434.99328
PosCtrl,Protexin,bins.6.fa,no_cluster,R5,771014.392983334
PosCtrl,Protexin,bins.7.fa,no_cluster,R5,540937.65773
PosCtrl,Protexin,bins.8.fa,no_cluster,R5,76130.0791506667
PosCtrl,Protexin,bins.9.fa,no_cluster,R5,2023240.01979
PosCtrl,ColiGuard,bins.1.fa,no_cluster,R5,19.8989301199
PosCtrl,ColiGuard,bins.10.fa,no_cluster,R5,3772057.86663334
PosCtrl,ColiGuard,bins.11.fa,no_cluster,R5,6.04441728016667
PosCtrl,ColiGuard,bins.12.fa,no_cluster,R5,1446323.04078
PosCtrl,ColiGuard,bins.13.fa,no_cluster,R5,975080.663166665
PosCtrl,ColiGuard,bins.2.fa,655_1,R5,148.904170194493
PosCtrl,ColiGuard,bins.3.fa,no_cluster,R5,275723.592286667
PosCtrl,ColiGuard,bins.4.fa,662_1,R5,512234.587783667
PosCtrl,ColiGuard,bins.5.fa,1254_1,R5,238.236028995133
PosCtrl,ColiGuard,bins.6.fa,no_cluster,R5,17.5283645094667
PosCtrl,ColiGuard,bins.7.fa,1255_2,R5,67.7156801900334
PosCtrl,ColiGuard,bins.8.fa,no_cluster,R5,10.4152999228667
PosCtrl,ColiGuard,bins.9.fa,no_cluster,R5,909533.498123334
PosCtrl,MockCommunity,bins.1.fa,1255_2,R6,966886.001196666
PosCtrl,MockCommunity,bins.10.fa,no_cluster,R6,3.66334342446668
PosCtrl,MockCommunity,bins.11.fa,no_cluster,R6,279604.30595
PosCtrl,MockCommunity,bins.12.fa,1011_1,R6,110729.747901333
PosCtrl,MockCommunity,bins.13.fa,no_cluster,R6,522922.454270668
PosCtrl,MockCommunity,bins.14.fa,no_cluster,R6,139451.253178333
PosCtrl,MockCommunity,bins.15.fa,no_cluster,R6,2.0991581968
PosCtrl,MockCommunity,bins.2.fa,228_1,R6,45422.8991336334
PosCtrl,MockCommunity,bins.3.fa,366_1,R6,6.22237294465666
PosCtrl,MockCommunity,bins.4.fa,1222_1,R6,208748.550922666
PosCtrl,MockCommunity,bins.5.fa,1010_1,R6,355134.562604667
PosCtrl,MockCommunity,bins.6.fa,no_cluster,R6,1224227.18626766
PosCtrl,MockCommunity,bins.7.fa,no_cluster,R6,253680.708323333
PosCtrl,MockCommunity,bins.8.fa,no_cluster,R6,324232.896313333
PosCtrl,MockCommunity,bins.9.fa,1254_1,R6,4784601.2168
PosCtrl,Protexin,bins.1.fa,no_cluster,R6,1913720.65187
PosCtrl,Protexin,bins.10.fa,no_cluster,R6,261416.741001667
PosCtrl,Protexin,bins.11.fa,289_5,R6,44.2580392496001
PosCtrl,Protexin,bins.12.fa,no_cluster,R6,519630.91739
PosCtrl,Protexin,bins.13.fa,no_cluster,R6,448527.577456668
PosCtrl,Protexin,bins.14.fa,no_cluster,R6,28683.4966761133
PosCtrl,Protexin,bins.15.fa,no_cluster,R6,110765.895035
PosCtrl,Protexin,bins.16.fa,no_cluster,R6,649303.987320668
PosCtrl,Protexin,bins.17.fa,no_cluster,R6,420097.474996668
PosCtrl,Protexin,bins.18.fa,619_0,R6,789788.224835333
PosCtrl,Protexin,bins.19.fa,no_cluster,R6,2358560.30917667
PosCtrl,Protexin,bins.2.fa,no_cluster,R6,278312.615826667
PosCtrl,Protexin,bins.20.fa,no_cluster,R6,811070.907816666
PosCtrl,Protexin,bins.3.fa,no_cluster,R6,362668.532188667
PosCtrl,Protexin,bins.4.fa,no_cluster,R6,684881.081613333
PosCtrl,Protexin,bins.5.fa,no_cluster,R6,812157.485896667
PosCtrl,Protexin,bins.6.fa,no_cluster,R6,252935.07412
PosCtrl,Protexin,bins.7.fa,no_cluster,R6,173538.349073333
